id,brand_name,brief,price,product_url,image_url
488,VEBOON,Men's Pique Polo Shirts Long Sleeve Cotton Blend Tipped Casual Collared Polo Shirt Business Classic Fit,26.56,https://www.amazon.com/VEBOON-Regular-Comfortable-Moisture-Wicking/dp/B0CQQZ84X6/ref=sr_1_190,https://m.media-amazon.com/images/I/71nPfX9cQfL._AC_UL320_.jpg
489,VEBOON,Men's Polo Shirts Long and Short Sleeve Cotton Blend Heather Moisture Wicking Casual Collared Shirts,29.95,https://www.amazon.com/Collar-Casual-Sleeve-Button-Heather/dp/B0BN76GWDP/ref=sr_1_191,https://m.media-amazon.com/images/I/81QXxHqUxcL._AC_UL320_.jpg
490,adidas,Men's Ultimate365 Jacquard Polo Shirt,49.99,https://www.amazon.com/adidas-Standard-Ultimate365-Jacquard-Conavy/dp/B0C7KK6WRV/ref=sr_1_192,https://m.media-amazon.com/images/I/91UDjI0A6vL._AC_UL320_.jpg
491,Red Kap,Men's Short Sleeve Performance Knit Pocket Polo,20.99,https://www.amazon.com/Red-Kap-Pocket-Shirt-Burgundy/dp/B07F94TR3S/ref=sr_1_222,https://m.media-amazon.com/images/I/7147CB60P4L._AC_UL320_.jpg
492,HHGKED,Polo Shirts for Men Casual Short & Long Sleeve Golf Slim Fashion Shirts,19.99,https://www.amazon.com/HHGKED-Shirts-Contrast-Patchwork-Sleeve/dp/B08P6QVZ1G/ref=sr_1_223,https://m.media-amazon.com/images/I/61EsTAAl7WL._AC_UL320_.jpg
493,Haggar,Mens Short Sleeve Stretch Polo (Regular and Big and Tall Sizes),21.8,https://www.amazon.com/Haggar-Short-Sleeve-Stretch-X-Large/dp/B0C5BC3H4K/ref=sr_1_224,https://m.media-amazon.com/images/I/61I9YSHgIQL._AC_UL320_.jpg
494,adidas,Entrada 22 Polo Shirt,26.36,https://www.amazon.com/adidas-Entrada-Polo-Shirt-Large/dp/B0BZWKRGV7/ref=sr_1_225,https://m.media-amazon.com/images/I/41jmz6HLYnL._AC_UL320_.jpg
495,Greg Norman,Men's Freedom Micro Pique Polo,30.63,https://www.amazon.com/Greg-Norman-Freedom-Micro-Pique/dp/B097BT8CRS/ref=sr_1_226,https://m.media-amazon.com/images/I/41V6ON7+yXL._AC_UL320_.jpg
496,CHAMPRO,"CHAMPRO Men's Short Umpire Polo Shirt, Red, X-Large",25.4,https://www.amazon.com/CHAMPRO-Umpire-Shirt-Adult-X-Large/dp/B00H8DAMT6/ref=sr_1_227,https://m.media-amazon.com/images/I/71LJSAo7wwL._AC_UL320_.jpg
497,Port Authority,Men's Stain Resistant Polo,16.83,https://www.amazon.com/Port-Authority-Stain-Resistant-Black/dp/B00860N4G8/ref=sr_1_228,https://m.media-amazon.com/images/I/71ukQUJuXBL._AC_UL320_.jpg
